Municipality,Barangay,Latitude,Longitude
San Pablo City,Atisan,13.9818,121.3182
San Pablo City,Bagong Bayan,14.0665,121.325
San Pablo City,Bagong Pook,14.0759,121.3206
San Pablo City,Barangay I-A,14.0733,121.3163
San Pablo City,Barangay I-B,14.0692,121.3164
San Pablo City,Barangay II-A,14.0632,121.3196
San Pablo City,Barangay II-B,14.0633,121.3216
San Pablo City,Barangay II-C,14.0656,121.3229
San Pablo City,Barangay II-D,14.0674,121.3232
San Pablo City,Barangay II-E,14.0653,121.3253
San Pablo City,Barangay II-F,14.061,121.3227
San Pablo City,Barangay III-A,14.067,121.3268
San Pablo City,Barangay III-B,14.0696,121.3278
San Pablo City,Barangay III-C,14.0673,121.3294
San Pablo City,Barangay III-D,14.0702,121.3313
San Pablo City,Barangay III-E,14.071,121.3333
San Pablo City,Barangay III-F,14.0683,121.3283
San Pablo City,Barangay IV-A,14.0723,121.3292
San Pablo City,Barangay IV-B,14.365,121.615
San Pablo City,Barangay IV-C,14.37,121.62
San Pablo City,Barangay V-A,14.0748,121.3246
San Pablo City,Barangay V-B,14.0736,121.3249
San Pablo City,Barangay V-C,14.0734,121.3255
San Pablo City,Barangay V-D,14.0714,121.3252
San Pablo City,Barangay VI-A,14.0736,121.3234
San Pablo City,Barangay VI-B,14.0785,121.3233
San Pablo City,Barangay VI-D,14.0781,121.3191
San Pablo City,Barangay VI-E,14.075,121.3179
San Pablo City,Barangay VII-A,14.0704,121.3216
San Pablo City,Barangay VII-B,14.0697,121.3239
San Pablo City,Barangay VII-C,14.0691,121.325
San Pablo City,Barangay VII-D,14.0687,121.3256
San Pablo City,Barangay VII-E,14.068,121.3241
San Pablo City,Bautista,13.9921,121.2827
San Pablo City,Concepcion,14.0791,121.3384
San Pablo City,Del Remedio,14.0785,121.3135
San Pablo City,Dolores,14.1029,121.3341
San Pablo City,San Antonio 1,14.0097,121.3373
San Pablo City,San Antonio 2,13.9963,121.3333
San Pablo City,San Bartolome,14.0272,121.2884
San Pablo City,San Buenaventura,14.114,121.3284
San Pablo City,San Crispin,14.0794,121.2827
San Pablo City,San Cristobal,14.049,121.4056
San Pablo City,San Diego,14.092,121.3742
San Pablo City,San Francisco,14.0661,121.3399
San Pablo City,San Gabriel,14.0591,121.317
San Pablo City,San Gregorio,14.0472,121.3284
San Pablo City,San Ignacio,14.0456,121.3399
San Pablo City,San Isidro,13.988,121.3113
San Pablo City,San Jose,14.0647,121.3856
San Pablo City,San Juan,14.0924,121.2998
San Pablo City,San Lorenzo,14.1107,121.3513
San Pablo City,San Lucas 1,14.0828,121.3263
San Pablo City,San Lucas 2,14.0898,121.327
San Pablo City,San Marcos,14.1034,121.3041
San Pablo City,San Mateo,14.1093,121.2984
San Pablo City,San Miguel,14.0351,121.3055
San Pablo City,San Nicolas,14.0675,121.2941
San Pablo City,San Pedro,14.0937,121.3356
San Pablo City,San Rafael,14.071,121.3055
San Pablo City,San Roque,14.064,121.3098
San Pablo City,San Vicente,14.0181,121.3393
San Pablo City,Santa Ana,14.0156,121.3263
San Pablo City,Santa Catalina,14.121,121.3423
San Pablo City,Santa Cruz,14.027,121.3505
San Pablo City,Santa Felomina,14.0893,121.2872
San Pablo City,Santa Maria,14.0275,121.3115
San Pablo City,Santa Monica,14.0549,121.3013
San Pablo City,Santa Veronica,14.0469,121.2881
San Pablo City,Santiago 1,14.0204,121.2783
San Pablo City,Santiago 2,14.009,121.2738
San Pablo City,Santisima Trinidad,14.265,121.515
San Pablo City,Santo Angel,14.27,121.52
San Pablo City,Santo Cristo,14.0634,121.3303
San Pablo City,Santo Niño,14.0525,121.3627
San Pablo City,Soledad,14.0401,121.3157
